Ecozones,Location,Habitat,pH,Colour,Turbidity,TDS,Suspended Solid,Total Solid,Conductivity,Chloride,Alkalinity,Hardness as CaCO3,Phosphate,Sulphate,Nitrate,DO,BOD,Calcium,Magnesium,Anopheles,Cules,Aedes,Depth,,,,,
Lowland Rainforest,Idunmwungha,Used Tyres,7.8,109,26,137.8,16,153.8,260,21.18,104,136,0.94,27,20.94,3.1,0.6,44.09,6.32,0,3,13,6.5,,,,,
Lowland Rainforest,Ugonoba,Used Tyres,7.3,101,114,127.2,77,204.2,240,70.6,102,34,0.51,50,3.41,6.2,3.9,8.02,3.4,0,0,19,7.6,,,,,
Lowland Rainforest,Ikhueniro,Used Tyres,5.5,80,17,58.3,3,61.3,110,28.24,48,74,0.95,41,3.59,2.8,9.1,28.06,1.46,0,1,7,6,,,,,
Derived Savanna,Sabongida Ora,Used Tyres,8,701,349,42.4,1028,1070.4,80,14.12,18,20,2.19,19,41.4,3.4,55,4.81,1.95,0,18,8,7.5,,,,,
Derived Savanna,Iluoje,Used Tyres,6,2401,80,47.7,42,89.7,90,14.12,18,14,0.211,15,2.73,4.6,1.8,4.01,1.46,0,0,2,7.4,,,,,
Derived Savanna,Agenebode,Used Tyres,6.3,195,15,79.5,12,91.5,150,28.24,72,76,0.23,22,20.5,3.7,3.4,7.21,4.38,0,6,49,8.8,,,,,
Derived Savanna,Iviukwe,Used Tyres,6.5,2150,100,53,61,114,100,14.12,78,58,0.15,21,2.31,0.2,15.3,20.84,1.46,7,17,3,2.5,,,,,
Freshwater Swamp,Oghobaye,Containers,6.6,105,18,10.6,13,23.6,20,14.12,10,8,0.21,22,5.6,6.8,4.2,2.4,0.49,0,0,1,12,,,,,
Lowland Rainforest,Ugonoba,Containers,5.6,78,8,21.2,2,23.2,40,7.06,40,20,0.4,17,1.53,10.1,2.1,3.21,2.92,0,0,3,18.6,,,,,
Derived Savanna,Uzebba,Containers,6.3,132,24,79.5,18,97.5,150,21.18,64,84,0.891,53,3.52,7,2.3,31.26,1.46,0,0,3,5.2,,,,,
Derived Savanna,Agenebode,Containers,6.3,41,2,185.5,5,190.5,350,21.18,38,26,1.11,4,20.8,6.4,4,4.01,2.43,0,4,1,12.2,,,,,
Derived Savanna,Iluoje,Containers,5.9,93,14,26.5,7,33.5,50,7.06,12,10,0.241,5,2.71,8.3,0.3,3.21,0.49,0,0,30,6.4,,,,,
Derived Savanna,Iviukwe,Containers,6.2,38,8,21.2,5,26.2,40,14.12,12,6,0.11,4,1.53,5.7,2.5,1.6,0.49,0,0,1,7.1,,,,,
Freshwater Swamp,Evboesi,Puddles,6.4,5500,2200,79.5,873,952.5,150,77.66,76,52,5.82,60,50.93,0.6,11,14.43,3.89,1,0,0,8.5,,,,,
Freshwater Swamp,Utagban,Puddles,6.6,1120,736,79.5,387,466.5,150,28.24,58,76,0.51,5,5.81,4.2,20.5,27.25,1.95,22,0,0,11.6,,,,,
Lowland Rainforest,Ugonoba,Puddles,6.9,2520,280,31.8,169,200.8,60,35.3,70,46,1.51,63,4.95,2.3,11.41,13.63,2.92,1,10,155,16.3,,,,,
Derived Savanna,Sabongida Ora,Puddles,8.1,48,21,291.5,16,307.5,550,7.06,44,44,3.95,12,20.76,4.4,4,16.03,0.97,1,0,0,7.8,,,,,
Derived Savanna,Iluoje,Puddles,6.7,6510,850,58.3,425,483.3,110,105.9,40,200,168.62,35,60.24,1.6,4.5,63.33,10.21,0,15,5,10,,,,,
Freshwater Swamp,Oghobaye,Gutters,6.6,5200,1200,68.9,688,756.9,130,35.3,30,88,4.12,205,71.61,2.1,39.6,31.2,2.92,1,0,0,3,,,,,
Lowland Rainforest,Ugonoba,Gutters,8.4,245,64,42.4,37,79.4,80,35.3,168,64,5.81,15,6.1,9.9,7.5,24.05,0.97,1,0,1,21.3,,,,,
Derived Savanna,Uzebba,Gutters,6.1,189,45,132.5,27,159.5,250,28.24,60,8,0.896,46,8.4,2.4,1,1.6,0.97,19,12,1,1,,,,,
